name,SPE_SVM,SPE_DT,SPE_Ada
abalone_19,0.052119495594482,0.0472243836489874,0.0602703867964281
arrhythmia,0.343828114420049,0.8443602255499788,0.8659286162385741
cleveland-0_vs_4,0.8047089947089946,0.8087037037037036,0.8172446072446072
ecoli-0-1-4-6_vs_5,0.9341558441558442,0.9562698412698412,0.97015873015873
ecoli-0-1-4-7_vs_5-6,0.9354908054908057,0.9377023809523808,0.9265380175380176
ecoli-0-1_vs_5,0.8493728956228956,0.9342460317460316,0.9412698412698411
ecoli-0-2-3-4_vs_5,0.9264162176759506,0.944431216931217,0.9483994708994709
ecoli-0-2-6-7_vs_3-5,0.8762423687423688,0.8627904013198131,0.8681990231990232
ecoli-0-3-4-6_vs_5,0.9105406630406632,0.918915343915344,0.9131216931216932
ecoli-0-3-4-7_vs_5-6,0.862819555652889,0.8353344122393358,0.8292380669439492
ecoli-0-3-4_vs_5,0.9537662337662336,0.9603174603174603,0.9630555555555556
ecoli-0-4-6_vs_5,0.8933044005802626,0.9038095238095238,0.9164177489177489
ecoli-0-6-7_vs_3-5,0.8483135383135384,0.84005057578587,0.8301808312273429
ecoli-0-6-7_vs_5,0.8569070669070669,0.8647825736355148,0.8729495586113233
glass-0-1-4-6_vs_2,0.4837767667735376,0.4128480959853509,0.4024109989693064
glass-0-1-5_vs_2,0.5529334608746374,0.4224821986483493,0.3819655652988986
glass-0-1-6_vs_2,0.4011902271719715,0.3987334818604168,0.4105391449509096
glass2,0.4968065199334548,0.4188175336111353,0.3828063875122698
glass4,0.9272222222222222,0.862922502334267,0.8391161616161615
libras_move,0.9637873237873238,0.9017668067810602,0.9022293841424276
oil,0.6278624789181749,0.5960075821948342,0.5673645044480405
optical_digits,0.9928169897047652,0.9918807833225238,0.9297957141303071
page-blocks-1-3_vs_4,0.9246518759018758,0.9984126984126984,0.994973544973545
pen_digits,0.9993118691348652,0.998937375192087,0.9490957924801516
poker-8-9_vs_5,0.1550573606926089,0.1278151309871848,0.0375823023481292
poker-8-9_vs_6,0.7451599133887974,0.2965439620502637,0.0479121842530862
poker-8_vs_6,0.7518373257098747,0.2354959992521144,0.1318201512381351
satimage,0.7633180678077706,0.782162676483,0.6518198720412322
scene,0.3251684023250404,0.3087494832042518,0.2858655436904646
thyroid_sick,0.7725668544041273,0.9703586870720758,0.7941962513402026
vowel0,1.0000000000000002,0.9930022773226436,0.980084427941318
winequality-red-3_vs_5,0.1531316116173083,0.1383628614753855,0.1162079197467705
winequality-red-4,0.1691704941216698,0.1416775574537483,0.1615136476724867
winequality-red-8_vs_6-7,0.083937092602357,0.1805561426393846,0.1506395904197033
winequality-red-8_vs_6,0.2433736660630994,0.3046674521961288,0.2663749299957232
wine_quality,0.2622389305066485,0.3922120723097012,0.2815757695485607
yeast-0-2-5-6_vs_3-7-8-9,0.5462094726202661,0.6287487693983013,0.5537695414345133
yeast-0-2-5-7-9_vs_3-6-8,0.8245907984260573,0.8684400937179221,0.8068358291155485
yeast-0-5-6-7-9_vs_4,0.5443004164115361,0.5976049615804182,0.4864548452764383
yeast-1-4-5-8_vs_7,0.181718264760184,0.1638600313492069,0.1328749400879885
yeast-2_vs_4,0.8304533249679332,0.8409035980422052,0.8432063887774136
yeast5,0.7068770251845962,0.793985703835377,0.7986792651792652
yeast6,0.6034754332696448,0.6663741212210428,0.5770005751907522
yeast_me2,0.4359818478553,0.4181949942893172,0.3502869358555048
yeast_ml8,0.1183852712695912,0.1093579380550865,0.1072594119763897
